gkz_arbeit,gkz_wohn,pendler
08111000,08115001,540
08111000,08115002,314
08111000,08115003,4171
08111000,08115004,331
08111000,08115010,175
08111000,08115013,756
08111000,08115015,949
08111000,08115016,416
08111000,08115021,1853
08111000,08115022,242
08111000,08115024,835
08111000,08115028,6535
08111000,08115029,882
08111000,08115034,101
08111000,08115037,442
08111000,08115041,1804
08111000,08115042,1134
08111000,08115044,726
08111000,08115045,4920
08111000,08115046,850
08111000,08115048,931
08111000,08115050,1713
08111000,08115051,562
08111000,08115052,749
08111000,08115053,290
08111000,08115054,481
08111000,08116004,661
08111000,08116005,92
08111000,08116006,130
08111000,08116007,455
08111000,08116008,174
08111000,08116011,105
08111000,08116012,144
08111000,08116014,646
08111000,08116015,1082
08111000,08116016,253
08111000,08116018,57
08111000,08116019,11544
08111000,08116020,305
08111000,08116022,192
08111000,08116027,368
08111000,08116029,91
08111000,08116033,1951
08111000,08116035,803
08111000,08116036,57
08111000,08116037,231
08111000,08116041,232
08111000,08116042,350
08111000,08116043,57
08111000,08116046,162
08111000,08116047,1520
08111000,08116048,254
08111000,08116049,2073
08111000,08116050,348
08111000,08116053,67
08111000,08116054,120
08111000,08116056,1354
08111000,08116058,670
08111000,08116063,181
08111000,08116068,320
08111000,08116070,290
08111000,08116071,1161
08111000,08116072,1129
08111000,08116073,609
08111000,08116076,747
08111000,08116077,6847
08111000,08116078,7925
08111000,08116079,207
08111000,08116080,6837
08111000,08116081,1051
08111000,08117001,82
08111000,08117002,54
08111000,08117003,212
08111000,08117006,96
08111000,08117007,83
08111000,08117009,77
08111000,08117010,77
08111000,08117011,54
08111000,08117012,168
08111000,08117014,125
08111000,08117015,241
08111000,08117016,15
08111000,08117017,54
08111000,08117018,1076
08111000,08117019,578
08111000,08117020,80
08111000,08117023,51
08111000,08117024,529
08111000,08117025,105
08111000,08117026,1883
08111000,08117028,66
08111000,08117029,118
08111000,08117030,148
08111000,08117031,27
08111000,08117033,122
08111000,08117035,28
08111000,08117037,67
08111000,08117038,181
08111000,08117042,227
08111000,08117043,41
08111000,08117044,177
08111000,08117049,290
08111000,08117051,644
08111000,08117053,115
08111000,08117055,130
08111000,08117058,50
08111000,08117060,119
08111000,08117061,65
08111000,08118001,392
08111000,08118003,1397
08111000,08118006,670
08111000,08118007,795
08111000,08118010,277
08111000,08118011,4058
08111000,08118012,723
08111000,08118014,445
08111000,08118015,125
08111000,08118016,139
08111000,08118018,176
08111000,08118019,4194
08111000,08118021,438
08111000,08118027,980
08111000,08118028,104
08111000,08118040,258
08111000,08118046,5831
08111000,08118047,307
08111000,08118048,9382
08111000,08118049,1504
08111000,08118050,1341
08111000,08118051,1244
08111000,08118053,193
08111000,08118054,477
08111000,08118059,279
08111000,08118060,305
08111000,08118063,447
08111000,08118067,1747
08111000,08118068,414
08111000,08118070,966
08111000,08118071,1525
08111000,08118073,2303
08111000,08118074,172
08111000,08118076,1118
08111000,08118077,369
08111000,08118078,1622
08111000,08118079,2920
08111000,08118080,4011
08111000,08118081,4574
08111000,08119001,192
08111000,08119003,330
08111000,08119004,261
08111000,08119006,380
08111000,08119008,2563
08111000,08119018,295
08111000,08119020,8954
08111000,08119024,83
08111000,08119037,78
08111000,08119038,237
08111000,08119041,1280
08111000,08119042,1281
08111000,08119044,468
08111000,08119053,187
08111000,08119055,602
08111000,08119061,571
08111000,08119067,2815
08111000,08119068,1225
08111000,08119069,73
08111000,08119075,202
08111000,08119076,589
08111000,08119079,7205
08111000,08119083,454
08111000,08119084,374
08111000,08119085,2816
08111000,08119086,743
08111000,08119087,419
08111000,08119089,514
08111000,08119090,1661
08111000,08119091,3394
08111000,08119093,2048
08111000,08121000,1462
08111000,08125001,136
08111000,08125005,175
08111000,08125006,134
08111000,08125007,78
08111000,08125008,221
08111000,08125013,296
08111000,08125017,48
08111000,08125021,40
08111000,08125024,63
08111000,08125026,112
08111000,08125027,63
08111000,08125030,132
08111000,08125034,26
08111000,08125038,74
08111000,08125039,68
08111000,08125046,318
08111000,08125049,21
08111000,08125056,337
08111000,08125057,40
08111000,08125058,120
08111000,08125059,63
08111000,08125061,22
08111000,08125063,72
08111000,08125065,283
08111000,08125066,132
08111000,08125068,37
08111000,08125069,103
08111000,08125074,142
08111000,08125078,37
08111000,08125079,29
08111000,08125081,31
08111000,08125086,97
08111000,08125087,13
08111000,08125094,111
08111000,08125096,40
08111000,08125098,196
08111000,08125102,212
08111000,08125103,10
08111000,08125107,94
08111000,08125108,69
08111000,08125110,168
08111000,08125111,52
08111000,08125113,32
08111000,08126011,123
08111000,08126028,17
08111000,08126039,18
08111000,08126045,15
08111000,08126046,69
08111000,08126047,27
08111000,08126056,15
08111000,08126058,47
08111000,08126060,26
08111000,08126066,169
08111000,08126069,63
08111000,08126072,21
08111000,08126085,20
08111000,08126086,15
08111000,08126094,18
08111000,08127008,30
08111000,08127009,17
08111000,08127012,12
08111000,08127013,20
08111000,08127014,137
08111000,08127023,75
08111000,08127025,145
08111000,08127032,15
08111000,08127043,38
08111000,08127046,26
08111000,08127047,13
08111000,08127052,90
08111000,08127056,27
08111000,08127059,40
08111000,08127062,64
08111000,08127063,28
08111000,08127071,28
08111000,08127073,19
08111000,08127075,17
08111000,08127076,262
08111000,08127079,23
08111000,08127086,17
08111000,08127089,27
08111000,08127091,15
08111000,08127100,45
08111000,08127101,15
08111000,08127103,26
08111000,08127104,12
08111000,08128006,16
08111000,08128007,95
08111000,08128014,35
08111000,08128115,55
08111000,08128138,12
08111000,08128139,66
08111000,08135015,88
08111000,08135016,67
08111000,08135019,257
08111000,08135020,72
08111000,08135021,11
08111000,08135025,57
08111000,08135026,35
08111000,08135027,30
08111000,08135031,22
08111000,08135032,50
08111000,08136002,53
08111000,08136003,14
08111000,08136007,27
08111000,08136009,78
08111000,08136010,53
08111000,08136015,50
08111000,08136018,14
08111000,08136019,179
08111000,08136020,29
08111000,08136021,66
08111000,08136024,40
08111000,08136027,68
08111000,08136028,116
08111000,08136029,31
08111000,08136033,55
08111000,08136034,49
08111000,08136035,13
08111000,08136038,35
08111000,08136040,39
08111000,08136042,541
08111000,08136043,81
08111000,08136044,170
08111000,08136045,36
08111000,08136046,18
08111000,08136050,50
08111000,08136060,15
08111000,08136061,36
08111000,08136062,38
08111000,08136065,1187
08111000,08136066,60
08111000,08136068,11
08111000,08136070,17
08111000,08136079,156
08111000,08136082,45
08111000,08136084,12
08111000,08136088,639
08111000,08136089,28
08111000,08211000,480
08111000,08212000,2201
08111000,08215007,169
08111000,08215009,336
08111000,08215017,228
08111000,08215021,49
08111000,08215025,29
08111000,08215029,19
08111000,08215039,23
08111000,08215040,16
08111000,08215046,71
08111000,08215047,38
08111000,08215059,61
08111000,08215064,37
08111000,08215066,48
08111000,08215082,22
08111000,08215084,63
08111000,08215089,64
08111000,08215090,67
08111000,08215096,105
08111000,08215097,75
08111000,08215099,58
08111000,08215100,48
08111000,08215101,144
08111000,08215102,84
08111000,08215103,56
08111000,08215105,62
08111000,08215106,81
08111000,08215107,18
08111000,08215108,101
08111000,08215109,139
08111000,08215110,86
08111000,08215111,30
08111000,08216002,14
08111000,08216005,56
08111000,08216006,14
08111000,08216007,97
08111000,08216008,27
08111000,08216009,57
08111000,08216012,12
08111000,08216013,11
08111000,08216015,93
08111000,08216017,68
08111000,08216022,13
08111000,08216023,30
08111000,08216024,30
08111000,08216028,10
08111000,08216029,10
08111000,08216033,31
08111000,08216039,27
08111000,08216043,169
08111000,08216049,51
08111000,08216052,15
08111000,08216063,17
08111000,08221000,589
08111000,08222000,1075
08111000,08225001,31
08111000,08225002,15
08111000,08225009,23
08111000,08225014,56
08111000,08225024,16
08111000,08225033,23
08111000,08225042,10
08111000,08225052,10
08111000,08225058,84
08111000,08225060,10
08111000,08225064,10
08111000,08225074,14
08111000,08225075,21
08111000,08225082,15
08111000,08225091,19
08111000,08225114,19
08111000,08225115,25
08111000,08225117,22
08111000,08226003,15
08111000,08226006,19
08111000,08226009,22
08111000,08226010,23
08111000,08226012,34
08111000,08226013,18
08111000,08226018,39
08111000,08226032,67
08111000,08226037,36
08111000,08226041,88
08111000,08226046,12
08111000,08226054,30
08111000,08226055,15
08111000,08226056,34
08111000,08226059,19
08111000,08226060,21
08111000,08226062,18
08111000,08226063,26
08111000,08226065,35
08111000,08226068,25
08111000,08226076,46
08111000,08226082,40
08111000,08226084,93
08111000,08226085,104
08111000,08226091,18
08111000,08226095,50
08111000,08226096,78
08111000,08226098,63
08111000,08226102,13
08111000,08226103,43
08111000,08226105,47
08111000,08226106,11
08111000,08231000,1324
08111000,08235006,98
08111000,08235007,387
08111000,08235008,323
08111000,08235018,12
08111000,08235020,75
08111000,08235022,22
08111000,08235029,168
08111000,08235032,56
08111000,08235033,54
08111000,08235035,13
08111000,08235046,418
08111000,08235047,91
08111000,08235050,37
08111000,08235055,54
08111000,08235057,148
08111000,08235060,38
08111000,08235065,85
08111000,08235066,15
08111000,08235067,218
08111000,08235073,43
08111000,08235079,88
08111000,08235080,338
08111000,08235084,68
08111000,08235085,629
08111000,08236004,95
08111000,08236011,39
08111000,08236013,37
08111000,08236019,296
08111000,08236025,425
08111000,08236028,423
08111000,08236030,73
08111000,08236031,42
08111000,08236033,80
08111000,08236038,143
08111000,08236039,173
08111000,08236040,762
08111000,08236043,43
08111000,08236044,181
08111000,08236046,183
08111000,08236050,109
08111000,08236061,44
08111000,08236062,250
08111000,08236065,291
08111000,08236067,179
08111000,08236068,83
08111000,08236070,71
08111000,08236071,89
08111000,08236072,61
08111000,08236073,78
08111000,08236074,70
08111000,08236075,49
08111000,08236076,83
08111000,08237002,26
08111000,08237004,66
08111000,08237019,55
08111000,08237024,69
08111000,08237027,152
08111000,08237028,141
08111000,08237030,10
08111000,08237040,455
08111000,08237045,44
08111000,08237054,36
08111000,08237061,19
08111000,08237073,12
08111000,08237074,49
08111000,08311000,521
08111000,08316011,41
08111000,08317001,49
08111000,08317056,10
08111000,08317065,42
08111000,08317089,29
08111000,08317096,123
08111000,08317116,11
08111000,08325001,15
08111000,08325009,18
08111000,08325011,35
08111000,08325012,48
08111000,08325014,18
08111000,08325015,29
08111000,08325036,34
08111000,08325045,113
08111000,08325049,176
08111000,08325053,73
08111000,08325057,155
08111000,08325060,18
08111000,08325061,58
08111000,08325064,15
08111000,08325069,46
08111000,08325070,12
08111000,08325072,22
08111000,08326012,52
08111000,08326041,31
08111000,08326074,257
08111000,08327002,27
08111000,08327017,12
08111000,08327046,42
08111000,08327050,90
08111000,08335043,244
08111000,08335063,78
08111000,08335075,89
08111000,08415014,214
08111000,08415019,207
08111000,08415027,25
08111000,08415028,20
08111000,08415029,89
08111000,08415034,18
08111000,08415039,47
08111000,08415048,11
08111000,08415050,555
08111000,08415053,137
08111000,08415058,15
08111000,08415059,298
08111000,08415060,450
08111000,08415061,2585
08111000,08415062,118
08111000,08415073,57
08111000,08415078,169
08111000,08415080,167
08111000,08415085,16
08111000,08415087,284
08111000,08415088,54
08111000,08415089,60
08111000,08415090,28
08111000,08415091,66
08111000,08415092,117
08111000,08415093,79
08111000,08416006,58
08111000,08416009,319
08111000,08416011,86
08111000,08416015,139
08111000,08416018,41
08111000,08416022,191
08111000,08416023,232
08111000,08416025,264
08111000,08416026,55
08111000,08416031,57
08111000,08416036,888
08111000,08416041,2352
08111000,08416048,387
08111000,08416049,80
08111000,08416050,104
08111000,08417002,337
08111000,08417008,112
08111000,08417010,18
08111000,08417013,71
08111000,08417016,22
08111000,08417022,50
08111000,08417023,21
08111000,08417025,142
08111000,08417031,167
08111000,08417036,13
08111000,08417044,58
08111000,08417047,10
08111000,08417051,49
08111000,08417054,61
08111000,08417057,27
08111000,08417075,41
08111000,08417079,247
08111000,08421000,1132
08111000,08425002,23
08111000,08425005,18
08111000,08425008,54
08111000,08425014,12
08111000,08425017,11
08111000,08425019,21
08111000,08425020,84
08111000,08425031,89
08111000,08425033,111
08111000,08425039,69
08111000,08425064,10
08111000,08425066,12
08111000,08425071,129
08111000,08425072,125
08111000,08425075,53
08111000,08425079,26
08111000,08425081,27
08111000,08425084,17
08111000,08425097,12
08111000,08425104,10
08111000,08425108,41
08111000,08425112,10
08111000,08425130,11
08111000,08425134,57
08111000,08425135,20
08111000,08425137,34
08111000,08425138,12
08111000,08425139,48
08111000,08425141,119
08111000,08426001,15
08111000,08426011,10
08111000,08426013,18
08111000,08426021,192
08111000,08426028,14
08111000,08426035,10
08111000,08426045,16
08111000,08426067,15
08111000,08426070,78
08111000,08426073,18
08111000,08426097,44
08111000,08426124,20
08111000,08426128,41
08111000,08426134,33
08111000,08435016,193
08111000,08435059,72
08111000,08436009,51
08111000,08436055,58
08111000,08436064,203
08111000,08436081,73
08111000,08436082,79
08111000,08437008,20
08111000,08437031,50
08111000,08437044,18
08111000,08437053,11
08111000,08437059,15
08111000,08437065,25
08111000,08437072,11
08111000,08437076,28
08111000,08437082,10
08111000,08437100,44
08111000,08437101,12
08111000,08437104,90
08111000,08437105,16
08111000,08437107,15
